undefined

1 atom types

1728 atoms

0.000000 100.000000 xlo xhi
0.000000 100.000000 ylo yhi
0.000000 100.000000 zlo zhi

Masses

1 32.000000 # MeOH

Atoms

149 149 1  49.441425 50.913223 48.171574
150 150 1  25.209362 52.429573 43.319042
151 151 1  65.904793 58.606293 49.277325
152 152 1  56.889454 40.247658 73.401657
153 153 1  44.496750 57.426399 54.206310
154 154 1  48.182220 22.617649 62.550938
155 155 1  52.315407 72.380539 60.161194
156 156 1  32.847538 50.779724 40.597664
157 157 1  57.791790 24.168495 59.857933
158 158 1  19.961731 43.129837 40.080803
159 159 1  57.101032 53.400513 66.045204
160 160 1  27.293152 46.893101 45.392792
161 161 1  28.875587 50.451954 68.725975
162 162 1  34.981712 43.158707 62.864353
163 163 1  55.790638 28.999830 52.005398
164 164 1  44.529194 54.131424 53.799969
165 165 1  39.002815 34.581387 38.295498
166 166 1  51.628712 54.930313 43.446529
167 167 1  67.759087 59.451351 45.092506
168 168 1  35.072342 70.614357 27.947210
169 169 1  46.085426 32.522015 62.769337
170 170 1  34.175583 35.141418 37.936035
171 171 1  59.636681 35.024197 37.685135
172 172 1  35.128571 56.657150 40.200287
173 173 1  72.282417 48.738613 41.981312
174 174 1  52.244366 56.300884 54.642105
175 175 1  52.107048 42.578125 41.835270
176 176 1  23.474991 43.616844 70.791733
177 177 1  72.753075 46.814770 37.501526
178 178 1  35.466900 35.338512 49.571903
179 179 1  51.390743 25.949989 43.588226
180 180 1  36.486076 24.593378 42.246132
181 181 1  35.706921 53.958889 22.211702
182 182 1  42.613804 61.969292 63.210323
183 183 1  44.804741 25.287634 61.577068
184 184 1  36.394535 62.597092 34.507328
185 185 1  24.065596 61.329903 43.440727
186 186 1  54.587955 46.204311 22.525164
187 187 1  67.166687 37.074852 30.842764
188 188 1  64.227234 65.157158 61.773193
189 189 1  34.679916 50.381832 49.562996
190 190 1  41.983295 53.962612 61.459896
191 191 1  51.534664 41.661900 49.920567
192 192 1  70.380089 72.952484 49.975010
193 193 1  69.635719 55.447685 46.401138
194 194 1  56.322380 73.856323 57.845032
195 195 1  38.501926 50.601566 52.849823
196 196 1  33.497154 61.769833 44.095387
