# Time-averaged data for fix PY
# TimeStep v_py
100000 -34.7853
200000 -28.0189
300000 -10.924
400000 -17.9875
500000 -4.2663
600000 1.77372
700000 -17.5734
800000 3.06468
900000 -11.5467
1000000 -7.42461
1100000 -3.55196
1200000 -20.5919
1300000 7.03765
1400000 9.58992
1500000 -14.4389
1600000 -8.49356
1700000 -19.3275
1800000 -8.69591
1900000 -22.478
2000000 -4.98435
2100000 7.23995
2200000 -2.0254
2300000 -1.2888
2400000 -21.9882
2500000 -4.03097
2600000 -1.86418
2700000 -10.9499
2800000 -14.4637
2900000 -7.30102
3000000 3.2281
3100000 -1.9325
3200000 -17.2179
3300000 -9.89641
3400000 -4.26888
3500000 -15.2323
3600000 -2.09664
3700000 -23.6747
3800000 14.3872
3900000 1.1033
4000000 -1.25466
4100000 -38.7341
4200000 -22.9966
4300000 -20.8341
4400000 -8.17386
4500000 -4.65867
4600000 -5.96837
4700000 -3.32644
4800000 -4.52173
4900000 -9.39673
5000000 6.05746
