  1 1 24.5852 0.387453
  2 3 26.6426 0.419877
  3 5 28.3082 0.446127
  4 7 29.9906 0.472641
  5 9 31.46 0.495798
  6 11 32.4588 0.511538
  7 13 33.2732 0.524373
  8 15 34.0856 0.537176
  9 17 34.0402 0.536461
  10 19 34.0646 0.536845
  11 21 34.339 0.54117
  12 23 34.2592 0.539912
  13 25 34.3996 0.542125
  14 27 34.1582 0.53832
  15 29 34.5526 0.544536
  16 31 34.7952 0.548359
  17 33 35.2504 0.555533
  18 35 35.4426 0.558562
  19 37 35.2486 0.555505
  20 39 34.3926 0.542014
  21 41 32.9044 0.518561
  22 43 30.3938 0.478995
  23 45 26.7054 0.420867
  24 47 22.454 0.353867
  25 49 18.3836 0.289719
  26 51 14.5646 0.229533
  27 53 11.054 0.174207
  28 55 8.3188 0.131101
  29 57 6.2038 0.0977696
  30 59 4.8824 0.0769448
  31 61 3.846 0.0606115
  32 63 3.269 0.0515182
  33 65 3.0564 0.0481677
  34 67 2.9876 0.0470835
  35 69 3.1086 0.0489904
  36 71 3.0986 0.0488328
  37 73 3.1298 0.0493245
  38 75 3.0372 0.0478651
  39 77 2.9252 0.0461001
  40 79 2.8846 0.0454602
  41 81 2.892 0.0455768
  42 83 2.8724 0.0452679
  43 85 2.8314 0.0446218
  44 87 2.8958 0.0456367
  45 89 3.0424 0.0479471
  46 91 3.0472 0.0480227
  47 93 3.265 0.0514552
  48 95 3.4128 0.0537844
  49 97 3.6506 0.0575321
  50 99 4.069 0.0641259
  51 101 4.7846 0.0754035
  52 103 5.8854 0.0927517
  53 105 7.7474 0.122096
  54 107 10.1578 0.160083
  55 109 12.9064 0.2034
  56 111 15.654 0.246701
  57 113 18.5412 0.292202
  58 115 21.2194 0.33441
  59 117 8.1704 0.128762
