  1 1 33.5042 0.528014
  2 3 36.9988 0.583087
  3 5 38.4938 0.606648
  4 7 38.455 0.606036
  5 9 37.8238 0.596089
  6 11 37.0508 0.583907
  7 13 36.202 0.57053
  8 15 35.9254 0.566171
  9 17 35.6114 0.561222
  10 19 35.5748 0.560645
  11 21 35.731 0.563107
  12 23 35.6336 0.561572
  13 25 35.688 0.562429
  14 27 35.5256 0.55987
  15 29 35.4456 0.558609
  16 31 35.7504 0.563413
  17 33 36.3302 0.57255
  18 35 37.0888 0.584506
  19 37 38.1288 0.600896
  20 39 38.6432 0.609002
  21 41 38.6806 0.609592
  22 43 37.3232 0.5882
  23 45 33.9346 0.534797
  24 47 28.0768 0.44248
  25 49 20.2348 0.318893
  26 51 12.6476 0.199321
  27 53 6.786 0.106945
  28 55 3.3202 0.0523251
  29 57 1.653 0.0260507
  30 59 1.0116 0.0159424
  31 61 0.7964 0.012551
  32 63 0.7364 0.0116054
  33 65 0.7396 0.0116558
  34 67 0.7728 0.012179
  35 69 0.7784 0.0122673
  36 71 0.7934 0.0125037
  37 73 0.7778 0.0122578
  38 75 0.787 0.0124028
  39 77 0.7344 0.0115739
  40 79 0.712 0.0112209
  41 81 0.6854 0.0108016
  42 83 0.6604 0.0104077
  43 85 0.6196 0.00976466
  44 87 0.6282 0.0099002
  45 89 0.639 0.0100704
  46 91 0.6292 0.00991596
  47 93 0.662 0.0104329
  48 95 0.6436 0.0101429
  49 97 0.6072 0.00956924
  50 99 0.6344 0.00999791
  51 101 0.6788 0.0106976
  52 103 0.834 0.0131435
  53 105 1.2712 0.0200336
  54 107 2.3746 0.0374228
  55 109 5.0502 0.0795892
  56 111 9.8868 0.155812
  57 113 17.0246 0.268301
  58 115 24.9224 0.392768
  59 117 10.6466 0.167786
