  1 1 4.0154 0.170211
  2 3 2.9722 0.125991
  3 5 2.461 0.104321
  4 7 2.5586 0.108458
  5 9 2.7794 0.117818
  6 11 2.9904 0.126762
  7 13 3.2982 0.13981
  8 15 3.4248 0.145176
  9 17 3.4562 0.146507
  10 19 3.4462 0.146083
  11 21 3.4518 0.146321
  12 23 3.4246 0.145168
  13 25 3.4254 0.145202
  14 27 3.4764 0.147363
  15 29 3.5514 0.150543
  16 31 3.4366 0.145676
  17 33 3.2312 0.136969
  18 35 3.0098 0.127584
  19 37 2.7488 0.116521
  20 39 2.4664 0.10455
  21 41 2.4814 0.105186
  22 43 2.82 0.119539
  23 45 3.903 0.165447
  24 47 5.7302 0.242901
  25 49 8.2304 0.348884
  26 51 10.8206 0.458681
  27 53 12.7636 0.541045
  28 55 13.9744 0.59237
  29 57 14.4348 0.611886
  30 59 14.6226 0.619847
  31 61 14.7906 0.626968
  32 63 14.7302 0.624408
  33 65 14.6974 0.623018
  34 67 14.7144 0.623738
  35 69 14.8372 0.628944
  36 71 14.659 0.62139
  37 73 14.7332 0.624535
  38 75 14.8096 0.627774
  39 77 14.721 0.624018
  40 79 14.7696 0.626078
  41 81 14.7422 0.624917
  42 83 14.8302 0.628647
  43 85 14.797 0.62724
  44 87 14.7772 0.6264
  45 89 14.7726 0.626205
  46 91 14.8192 0.628181
  47 93 14.7142 0.62373
  48 95 14.8654 0.630139
  49 97 14.7384 0.624756
  50 99 14.7336 0.624552
  51 101 14.8448 0.629266
  52 103 14.6268 0.620025
  53 105 14.6722 0.621949
  54 107 14.1598 0.600229
  55 109 13.3412 0.565529
  56 111 11.8108 0.500656
  57 113 9.317 0.394944
  58 115 6.7334 0.285426
  59 117 1.836 0.0778274
