# Time-averaged data for fix P
# TimeStep v_p
100000 0.350752
200000 0.203037
300000 0.736792
400000 1.60123
500000 1.7772
600000 1.84317
700000 0.780513
800000 0.493632
900000 0.542378
1000000 0.657537
1100000 1.03245
1200000 1.90264
1300000 2.1173
1400000 0.552044
1500000 2.31996
1600000 0.10918
1700000 0.624395
1800000 1.00166
1900000 1.26844
2000000 1.23608
