# Time-averaged data for fix PY
# TimeStep v_py
100000 5.97174
200000 -2.32983
300000 16.6911
400000 4.91877
500000 2.65527
600000 10.2033
700000 -0.568916
800000 4.99132
900000 5.51184
1000000 -7.34755
1100000 -1.98951
1200000 0.653835
1300000 1.09979
1400000 -4.81981
1500000 -2.02241
1600000 -4.81134
1700000 -6.7781
1800000 -4.00896
1900000 4.05315
2000000 -7.64264
