# Time-averaged data for fix PX
# TimeStep v_px
100000 -5.00822
200000 0.705003
300000 -2.46044
400000 -3.59191
500000 9.58691
600000 -10.3014
700000 -5.74426
800000 3.69272
900000 1.59987
1000000 15.1726
1100000 -2.28337
1200000 2.85392
1300000 -2.3339
1400000 4.70686
1500000 3.27827
1600000 7.98504
1700000 7.58468
1800000 0.822169
1900000 6.56704
2000000 0.698419
