# Time-averaged data for fix P
# TimeStep v_p
100000 1.46849
200000 1.15216
300000 2.13473
400000 0.794938
500000 2.00116
600000 1.44632
700000 0.700632
800000 0.816085
900000 1.32218
1000000 0.735907
1100000 0.534125
1200000 0.238641
1300000 2.58896
1400000 0.669805
1500000 1.44205
1600000 0.947891
1700000 0.987127
1800000 -0.0365121
1900000 2.58064
2000000 1.07594
