# Time-averaged data for fix PZ
# TimeStep v_pz
100000 34.884
200000 45.5551
300000 55.7235
400000 45.3736
500000 70.6569
600000 43.0676
700000 60.26
800000 61.2329
900000 39.2439
1000000 57.9693
1100000 31.4475
1200000 38.9509
1300000 62.995
1400000 30.9534
1500000 28.1804
1600000 54.4396
1700000 50.9923
1800000 46.167
1900000 34.6633
2000000 32.2642
2100000 43.8293
2200000 43.5005
2300000 41.3998
2400000 65.3704
2500000 44.3866
2600000 44.0658
2700000 35.6907
2800000 20.1955
2900000 38.9902
3000000 66.9844
3100000 39.0955
3200000 51.5147
3300000 53.6329
3400000 25.6319
3500000 24.2253
3600000 64.1617
3700000 34.5174
3800000 44.1713
3900000 44.8408
4000000 48.186
4100000 39.3533
4200000 46.2128
4300000 40.4627
4400000 51.8636
4500000 74.9667
4600000 51.1345
4700000 53.3552
4800000 58.8199
4900000 71.8692
5000000 47.6478
