# Time-averaged data for fix P
# TimeStep v_p
100000 30.0193
200000 48.7834
300000 51.998
400000 51.9436
500000 67.1292
600000 39.3652
700000 50.0511
800000 61.4963
900000 34.3464
1000000 58.3717
1100000 31.8891
1200000 46.5197
1300000 61.4501
1400000 28.4059
1500000 29.8515
1600000 53.3674
1700000 56.8031
1800000 48.5029
1900000 37.7616
2000000 36.3449
2100000 39.2325
2200000 41.2483
2300000 44.5189
2400000 60.4463
2500000 45.0667
2600000 39.7222
2700000 41.687
2800000 22.9274
2900000 45.6971
3000000 65.0293
3100000 40.7439
3200000 53.9878
3300000 49.9723
3400000 22.1753
3500000 26.0893
3600000 69.5793
3700000 39.9222
3800000 43.6499
3900000 39.8803
4000000 48.6283
4100000 42.308
4200000 48.3413
4300000 37.678
4400000 48.6169
4500000 78.3309
4600000 53.4231
4700000 53.1351
4800000 56.4313
4900000 72.6066
5000000 44.695
