# Time-averaged data for fix PX
# TimeStep v_px
100000 34.3226
200000 52.9176
300000 52.8937
400000 66.5845
500000 69.3504
600000 38.08
700000 45.0894
800000 62.8535
900000 33.9564
1000000 51.7243
1100000 29.6096
1200000 48.1157
1300000 60.0449
1400000 27.9952
1500000 31.609
1600000 51.2063
1700000 57.1052
1800000 44.6285
1900000 41.6164
2000000 36.0555
2100000 43.5321
2200000 41.2117
2300000 43.7432
2400000 60.48
2500000 43.8385
2600000 33.0544
2700000 44.2244
2800000 15.2398
2900000 51.5316
3000000 56.9143
3100000 39.3403
3200000 63.4995
3300000 50.8464
3400000 20.0982
3500000 30.0405
3600000 70.3768
3700000 41.7696
3800000 44.3643
3900000 37.0311
4000000 43.5585
4100000 44.3735
4200000 56.0573
4300000 35.5029
4400000 53.8837
4500000 82.8804
4600000 63.664
4700000 58.7322
4800000 46.2477
4900000 74.0103
5000000 47.9131
